GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC39,HC02_EST_VC40,HC02_EST_VC41,HC02_EST_VC42,HC02_EST_VC43,HC02_EST_VC46,HC02_EST_VC47,HC02_EST_VC48,HC02_EST_VC49,HC02_EST_VC52,HC02_EST_VC53,HC02_EST_VC56,HC02_EST_VC57
Id,Id2,Geography,Veterans; Estimate; EDUCATIONAL ATTAINMENT - Civilian population 25 years and over,Veterans; Estimate; EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Less than high school graduate,Veterans; Estimate; EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - High school graduate (includes equivalency),Veterans; Estimate; EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Some college or associate's degree,Veterans; Estimate; EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Bachelor's degree or higher,Veterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years,Veterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years - Labor force participation rate,Veterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years,Veterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years - Unemployment rate,Veterans; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over for whom poverty status is determined,Veterans; Estimate; Below poverty in the past 12 months,Veterans; Estimate; DISABILITY STATUS - Civilian population 18 years and over for whom poverty status is determined,Veterans; Estimate; With any disability
1400000US37001020100,37001020100,"Census Tract 201, Alamance County, North Carolina",264,8.7,20.8,39.4,31.1,151,82.1,124,15.3,264,15.9,264,25
1400000US37001020200,37001020200,"Census Tract 202, Alamance County, North Carolina",198,27.8,43.4,28.8,0,120,40,48,0,198,20.2,198,34.8
1400000US37001020300,37001020300,"Census Tract 203, Alamance County, North Carolina",621,10.6,29.5,56.4,3.5,359,76.6,275,4,588,7.8,588,29.8
1400000US37001020400,37001020400,"Census Tract 204, Alamance County, North Carolina",400,8.5,46,40,5.5,258,60.1,155,11,391,21.5,391,39.9
1400000US37001020501,37001020501,"Census Tract 205.01, Alamance County, North Carolina",192,2.6,36.5,49,12,115,91.3,105,0,192,5.2,192,24
1400000US37001020502,37001020502,"Census Tract 205.02, Alamance County, North Carolina",144,16,55.6,7.6,20.8,129,73.6,95,55.8,144,66,144,70.1
1400000US37001020601,37001020601,"Census Tract 206.01, Alamance County, North Carolina",430,2.6,15.8,30.2,51.4,117,54.7,64,0,430,0,430,28.6
1400000US37001020602,37001020602,"Census Tract 206.02, Alamance County, North Carolina",256,4.7,24.2,46.5,24.6,131,75.6,99,0,252,0,252,47.6
1400000US37001020701,37001020701,"Census Tract 207.01, Alamance County, North Carolina",466,24,32.4,35,8.6,264,75.8,200,24.5,460,12.2,460,26.1
1400000US37001020702,37001020702,"Census Tract 207.02, Alamance County, North Carolina",224,8.9,43.8,21.4,25.9,75,40,30,43.3,224,8.5,224,43.3
1400000US37001020801,37001020801,"Census Tract 208.01, Alamance County, North Carolina",197,3.6,27.4,41.6,27.4,134,82.8,111,63.1,197,19.3,197,35.5
1400000US37001020802,37001020802,"Census Tract 208.02, Alamance County, North Carolina",268,7.8,27.2,50.7,14.2,167,82,137,13.1,278,40.6,278,27
1400000US37001020901,37001020901,"Census Tract 209.01, Alamance County, North Carolina",293,6.8,9.2,48.1,35.8,144,88.9,128,23.4,293,11.3,293,26.6
1400000US37001020902,37001020902,"Census Tract 209.02, Alamance County, North Carolina",314,12.1,26.4,38.9,22.6,171,73.7,126,12.7,314,12.1,314,30.6
1400000US37001021000,37001021000,"Census Tract 210, Alamance County, North Carolina",294,22.1,13.3,60.9,3.7,202,86.1,174,21.8,309,36.9,309,46
1400000US37001021101,37001021101,"Census Tract 211.01, Alamance County, North Carolina",223,6.3,37.7,39,17,101,84.2,85,0,223,5.4,223,29.1
1400000US37001021102,37001021102,"Census Tract 211.02, Alamance County, North Carolina",200,16.5,41.5,32.5,9.5,78,91,71,18.3,176,0,176,46.6
1400000US37001021201,37001021201,"Census Tract 212.01, Alamance County, North Carolina",426,10.3,27.2,47.7,14.8,358,65.4,234,3,450,24.4,450,28
1400000US37001021204,37001021204,"Census Tract 212.04, Alamance County, North Carolina",253,9.5,39.5,41.1,9.9,145,91.7,133,6,256,14.1,256,28.5
1400000US37001021205,37001021205,"Census Tract 212.05, Alamance County, North Carolina",419,7.6,48,26.3,18.1,221,80.5,178,11.2,419,4.1,419,24.8
1400000US37001021206,37001021206,"Census Tract 212.06, Alamance County, North Carolina",282,24.5,13.5,48.6,13.5,137,93.4,128,5.5,282,0,282,35.1
1400000US37001021207,37001021207,"Census Tract 212.07, Alamance County, North Carolina",247,5.7,38.9,42.1,13.4,123,100,123,39.8,247,5.7,247,17.8
1400000US37001021300,37001021300,"Census Tract 213, Alamance County, North Carolina",520,14.2,32.9,20,32.9,273,72.9,199,19.6,525,6.7,525,31.8
1400000US37001021400,37001021400,"Census Tract 214, Alamance County, North Carolina",128,7,45.3,33.6,14.1,61,68.9,42,0,128,3.9,128,39.1
1400000US37001021500,37001021500,"Census Tract 215, Alamance County, North Carolina",278,3.2,32.4,54.7,9.7,183,69.9,128,7.8,277,0,277,29.2
1400000US37001021600,37001021600,"Census Tract 216, Alamance County, North Carolina",301,12.3,20.6,56.1,11,145,94.5,137,0,301,0,301,24.9
1400000US37001021701,37001021701,"Census Tract 217.01, Alamance County, North Carolina",272,0,7.4,22.4,70.2,123,100,123,32.5,312,12.8,312,42.3
1400000US37001021702,37001021702,"Census Tract 217.02, Alamance County, North Carolina",336,0,16.4,43.2,40.5,173,89.6,155,0,332,0,332,31
1400000US37001021703,37001021703,"Census Tract 217.03, Alamance County, North Carolina",299,5.4,23.4,42.8,28.4,247,69.6,172,9.3,299,4,299,21.7
1400000US37001021801,37001021801,"Census Tract 218.01, Alamance County, North Carolina",284,31,27.5,32,9.5,124,95.2,118,19.5,289,0,289,15.6
1400000US37001021802,37001021802,"Census Tract 218.02, Alamance County, North Carolina",261,6.5,55.6,31,6.9,205,85.9,176,0,261,3.1,261,8
1400000US37001021803,37001021803,"Census Tract 218.03, Alamance County, North Carolina",166,6,43.4,26.5,24.1,113,66.4,75,8,166,6,166,13.3
1400000US37001021901,37001021901,"Census Tract 219.01, Alamance County, North Carolina",426,2.3,20.7,71.4,5.6,296,90.9,269,0,426,0,426,10.8
1400000US37001021902,37001021902,"Census Tract 219.02, Alamance County, North Carolina",256,0,55.1,42.6,2.3,177,94.4,167,16.8,256,5.9,256,31.6
1400000US37001022001,37001022001,"Census Tract 220.01, Alamance County, North Carolina",148,8.8,31.1,31.8,28.4,100,66,66,15.2,152,0,152,14.5
1400000US37001022002,37001022002,"Census Tract 220.02, Alamance County, North Carolina",296,18.2,30.7,39.2,11.8,169,69.2,117,13.7,296,0,296,31.4
